CountryCode,location,FirstDate,MissingDate,LastDate
ATG,Antigua and Barbuda,3/15/2020,3/16/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/17/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/18/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/19/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/20/2020,6/19/2020
FIN,Finland,12/31/2019,3/3/2020,6/19/2020
FIN,Finland,12/31/2019,3/5/2020,6/19/2020
FIN,Finland,12/31/2019,3/8/2020,6/19/2020
FIN,Finland,12/31/2019,3/11/2020,6/19/2020
BHR,Bahrain,12/31/2019,3/3/2020,6/19/2020
BHS,"Bahamas, The",3/16/2020,3/18/2020,6/19/2020
BHS,"Bahamas, The",3/16/2020,3/19/2020,6/19/2020
PSE,West Bank and Gaza,3/6/2020,3/9/2020,6/19/2020
PSE,West Bank and Gaza,3/6/2020,3/13/2020,6/19/2020
PSE,West Bank and Gaza,3/6/2020,4/5/2020,6/19/2020
AND,Andorra,3/3/2020,3/4/2020,6/19/2020
AND,Andorra,3/3/2020,3/5/2020,6/19/2020
AND,Andorra,3/3/2020,3/6/2020,6/19/2020
AND,Andorra,3/3/2020,3/7/2020,6/19/2020
AND,Andorra,3/3/2020,3/8/2020,6/19/2020
AND,Andorra,3/3/2020,3/9/2020,6/19/2020
AND,Andorra,3/3/2020,3/10/2020,6/19/2020
AND,Andorra,3/3/2020,3/11/2020,6/19/2020
AND,Andorra,3/3/2020,3/12/2020,6/19/2020
AND,Andorra,3/3/2020,3/13/2020,6/19/2020
AND,Andorra,3/3/2020,3/15/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/3/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/4/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/5/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/6/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/3/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/8/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/9/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/10/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/11/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/12/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/13/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/16/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/17/2020,6/19/2020
MCO,Monaco,12/31/2019,3/3/2020,6/19/2020
MCO,Monaco,12/31/2019,3/4/2020,6/19/2020
MCO,Monaco,12/31/2019,3/5/2020,6/19/2020
MCO,Monaco,12/31/2019,3/6/2020,6/19/2020
MCO,Monaco,12/31/2019,3/7/2020,6/19/2020
MCO,Monaco,12/31/2019,3/8/2020,6/19/2020
MCO,Monaco,12/31/2019,3/9/2020,6/19/2020
MCO,Monaco,12/31/2019,3/10/2020,6/19/2020
MCO,Monaco,12/31/2019,3/11/2020,6/19/2020
MCO,Monaco,12/31/2019,3/12/2020,6/19/2020
MCO,Monaco,12/31/2019,3/13/2020,6/19/2020
MCO,Monaco,12/31/2019,3/14/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/3/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/4/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/5/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/8/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/9/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/10/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/14/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/8/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/10/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/11/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/12/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/13/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/14/2020,6/19/2020
JOR,Jordan,3/3/2020,3/4/2020,6/19/2020
JOR,Jordan,3/3/2020,3/5/2020,6/19/2020
JOR,Jordan,3/3/2020,3/6/2020,6/19/2020
JOR,Jordan,3/3/2020,3/7/2020,6/19/2020
JOR,Jordan,3/3/2020,3/9/2020,6/19/2020
JOR,Jordan,3/3/2020,3/10/2020,6/19/2020
JOR,Jordan,3/3/2020,3/11/2020,6/19/2020
JOR,Jordan,3/3/2020,3/12/2020,6/19/2020
JOR,Jordan,3/3/2020,3/13/2020,6/19/2020
JOR,Jordan,3/3/2020,3/14/2020,6/19/2020
BLR,Belarus,12/31/2019,3/3/2020,6/19/2020
BLR,Belarus,12/31/2019,3/6/2020,6/19/2020
BLR,Belarus,12/31/2019,3/7/2020,6/19/2020
BLR,Belarus,12/31/2019,3/8/2020,6/19/2020
BLR,Belarus,12/31/2019,3/9/2020,6/19/2020
BLR,Belarus,12/31/2019,3/10/2020,6/19/2020
BLR,Belarus,12/31/2019,3/14/2020,6/19/2020
BLR,Belarus,12/31/2019,3/15/2020,6/19/2020
BOL,Bolivia,3/12/2020,3/16/2020,6/19/2020
MYS,Malaysia,12/31/2019,3/3/2020,6/19/2020
SMR,San Marino,12/31/2019,3/3/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/3/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/4/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/5/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/6/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/7/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/8/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/9/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/10/2020,6/19/2020
LKA,Sri Lanka,12/31/2019,3/11/2020,6/19/2020
IDN,Indonesia,12/31/2019,3/3/2020,6/19/2020
IDN,Indonesia,12/31/2019,3/4/2020,6/19/2020
IDN,Indonesia,12/31/2019,3/5/2020,6/19/2020
IDN,Indonesia,12/31/2019,3/6/2020,6/19/2020
IDN,Indonesia,12/31/2019,3/8/2020,6/19/2020
IDN,Indonesia,12/31/2019,3/10/2020,6/19/2020
IDN,Indonesia,12/31/2019,3/13/2020,6/19/2020
JAM,Jamaica,3/12/2020,3/15/2020,6/19/2020
PHL,Philippines,12/31/2019,3/3/2020,6/19/2020
PHL,Philippines,12/31/2019,3/4/2020,6/19/2020
PHL,Philippines,12/31/2019,3/5/2020,6/19/2020
PHL,Philippines,12/31/2019,3/6/2020,6/19/2020
CUB,Cuba,3/12/2020,3/13/2020,6/19/2020
CUB,Cuba,3/12/2020,3/16/2020,6/19/2020
CUB,Cuba,3/12/2020,3/17/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/3/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/4/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/5/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/6/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/7/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/8/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/9/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/10/2020,6/19/2020
LTU,Lithuania,12/31/2019,3/13/2020,6/19/2020
SEN,Senegal,3/3/2020,3/4/2020,6/19/2020
SEN,Senegal,3/3/2020,3/7/2020,6/19/2020
SEN,Senegal,3/3/2020,3/8/2020,6/19/2020
SEN,Senegal,3/3/2020,3/9/2020,6/19/2020
SEN,Senegal,3/3/2020,3/10/2020,6/19/2020
SEN,Senegal,3/3/2020,3/11/2020,6/19/2020
SEN,Senegal,3/3/2020,3/12/2020,6/19/2020
KWT,Kuwait,12/31/2019,3/4/2020,6/19/2020
KWT,Kuwait,12/31/2019,3/5/2020,6/19/2020
KWT,Kuwait,12/31/2019,3/7/2020,6/19/2020
CYP,Cyprus,3/10/2020,3/11/2020,6/19/2020
CYP,Cyprus,3/10/2020,3/13/2020,6/19/2020
HUN,Hungary,3/5/2020,3/6/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/14/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/15/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/16/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/17/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/18/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/19/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/20/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/21/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/22/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/23/2020,6/19/2020
VCT,St. Vincent and the Grenadines,3/13/2020,3/24/2020,6/19/2020
EST,Estonia,12/31/2019,3/3/2020,6/19/2020
EST,Estonia,12/31/2019,3/5/2020,6/19/2020
EST,Estonia,12/31/2019,3/8/2020,6/19/2020
EST,Estonia,12/31/2019,3/9/2020,6/19/2020
EST,Estonia,12/31/2019,3/10/2020,6/19/2020
COD,"Congo, Dem. Rep.",3/11/2020,3/12/2020,6/19/2020
COD,"Congo, Dem. Rep.",3/11/2020,3/13/2020,6/19/2020
DZA,Algeria,12/31/2019,3/3/2020,6/19/2020
DZA,Algeria,12/31/2019,3/7/2020,6/19/2020
DZA,Algeria,12/31/2019,3/8/2020,6/19/2020
DZA,Algeria,12/31/2019,3/10/2020,6/19/2020
DZA,Algeria,12/31/2019,3/11/2020,6/19/2020
ABW,Aruba,3/13/2020,3/14/2020,6/19/2020
ABW,Aruba,3/13/2020,3/15/2020,6/19/2020
ABW,Aruba,3/13/2020,3/16/2020,6/19/2020
ABW,Aruba,3/13/2020,3/17/2020,6/19/2020
ABW,Aruba,3/13/2020,3/18/2020,6/19/2020
ABW,Aruba,3/13/2020,3/19/2020,6/19/2020
ABW,Aruba,3/13/2020,3/21/2020,6/19/2020
ABW,Aruba,3/13/2020,3/22/2020,6/19/2020
ABW,Aruba,3/13/2020,3/23/2020,6/19/2020
ABW,Aruba,3/13/2020,3/31/2020,6/19/2020
ECU,Ecuador,12/31/2019,3/4/2020,6/19/2020
ECU,Ecuador,12/31/2019,3/7/2020,6/19/2020
ECU,Ecuador,12/31/2019,3/8/2020,6/19/2020
ECU,Ecuador,12/31/2019,3/12/2020,6/19/2020
ECU,Ecuador,12/31/2019,3/13/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/3/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/4/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/5/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/6/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/7/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/8/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/9/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/11/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/12/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/13/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/14/2020,6/19/2020
CUW,Curacao,3/13/2020,3/14/2020,6/19/2020
CUW,Curacao,3/13/2020,3/15/2020,6/19/2020
CUW,Curacao,3/13/2020,3/16/2020,6/19/2020
CUW,Curacao,3/13/2020,3/17/2020,6/19/2020
CUW,Curacao,3/13/2020,3/18/2020,6/19/2020
CUW,Curacao,3/13/2020,3/19/2020,6/19/2020
CUW,Curacao,3/13/2020,3/21/2020,6/19/2020
CUW,Curacao,3/13/2020,3/22/2020,6/19/2020
CUW,Curacao,3/13/2020,3/23/2020,6/19/2020
CUW,Curacao,3/13/2020,3/25/2020,6/19/2020
CUW,Curacao,3/13/2020,3/31/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/3/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/4/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/5/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/6/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/8/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/9/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/10/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/12/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/15/2020,6/19/2020
SVK,Slovak Republic,3/7/2020,3/10/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/7/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/8/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/9/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/10/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/11/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/14/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/15/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/11/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/12/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/13/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/14/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/16/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/17/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/4/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/5/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/8/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/14/2020,6/19/2020
IRQ,Iraq,12/31/2019,3/7/2020,6/19/2020
